ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-06-25,11.3,49.8,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-06-31,10.9,49.9,17.7,0.2,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-06-37,11.0,49.9,17.7,0.2,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-06-43,10.6,49.9,17.7,0.0,14071519000332,36
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-06-49,10.3,49.9,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-06-55,9.6,49.9,17.7,0.1,14071519000332,45
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-07-00,9.3,49.8,17.7,0.2,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-07-06,9.9,49.8,17.7,0.1,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-07-12,10.3,49.8,17.7,0.0,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-07-18,10.4,49.9,17.7,0.1,14071519000332,36
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-07-24,11.6,49.9,17.7,0.1,14071519000332,43
