ip,hostname,timestamp,processo,cpu,ram,dados_gravados,mac,gpu,disco_uso
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-30,System Idle Process,90.5,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-30,System,0.4,0.0,1185.3,14071519000332,0,1242856595
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-30,Registry,0.0,0.0,225.4,14071519000332,0,236306432
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-30,chrome.exe,0.2,0.0,6308.6,14071519000332,0,6615074684
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-30,lsass.exe,0.0,0.0,1.4,14071519000332,0,1482445
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,Code.exe,0.0,0.0,20.2,14071519000332,0,21213548
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,Code.exe,0.0,0.0,226.3,14071519000332,0,237286018
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,msedgewebview2.exe,0.0,0.0,4.7,14071519000332,0,4909380
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,svchost.exe,0.0,0.0,22.9,14071519000332,0,23984194
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,chrome.exe,0.0,0.0,1.5,14071519000332,0,1577068
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,svchost.exe,0.1,0.0,24.9,14071519000332,0,26074838
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,Code.exe,0.0,0.0,231.1,14071519000332,0,242322822
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,svchost.exe,0.0,0.0,1.2,14071519000332,0,1265668
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,svchost.exe,0.0,0.0,27.7,14071519000332,0,29091328
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,MemCompression,0.0,1.4,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,chrome.exe,0.0,0.0,186.4,14071519000332,0,195416470
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,svchost.exe,0.0,0.0,15.9,14071519000332,0,16636688
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,chrome.exe,0.0,0.0,3.3,14071519000332,0,3407893
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,Code.exe,0.0,1.6,3.6,14071519000332,0,3784603
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,svchost.exe,0.0,0.0,1.2,14071519000332,0,1264768
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,Code.exe,0.0,0.0,1073.5,14071519000332,0,1125630518
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,svchost.exe,0.0,0.0,22.4,14071519000332,0,23527633
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,svchost.exe,0.0,0.0,53.0,14071519000332,0,55558016
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,KillerAnalyticsService.exe,0.0,0.0,3.4,14071519000332,0,3518924
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-31,svchost.exe,0.0,0.0,11.8,14071519000332,0,12362144
