fk_modelo,fk_zona,fk_empresa,timestamp,processo,cpu,ram,dados_gravados,gpu,disco_uso
1,1,1,2025-11-30_15-31-19,System Idle Process,98.1,0.0,0.0,0,0
1,1,1,2025-11-30_15-31-19,System,0.0,0.0,1518.9,0,1592723355
1,1,1,2025-11-30_15-31-19,Registry,0.0,0.0,238.3,0,249925632
1,1,1,2025-11-30_15-31-19,Code.exe,0.0,0.0,4.0,0,4195353
1,1,1,2025-11-30_15-31-19,AvastSvc.exe,0.0,0.0,46.3,0,48522444
1,1,1,2025-11-30_15-31-19,lsass.exe,0.0,0.0,1.8,0,1847495
1,1,1,2025-11-30_15-31-19,idea64.exe,0.0,13.1,306.7,0,321631521
1,1,1,2025-11-30_15-31-19,steamwebhelper.exe,0.0,2.2,10.3,0,10798745
1,1,1,2025-11-30_15-31-19,svchost.exe,0.0,0.0,139.0,0,145797280
1,1,1,2025-11-30_15-31-19,svchost.exe,0.0,0.0,37.8,0,39593458
1,1,1,2025-11-30_15-31-19,svchost.exe,0.0,0.0,7.3,0,7618720
1,1,1,2025-11-30_15-31-19,Code.exe,0.0,0.0,3.6,0,3818904
1,1,1,2025-11-30_15-31-19,MsMpEng.exe,0.0,1.4,1772.1,0,1858213003
1,1,1,2025-11-30_15-31-19,svchost.exe,0.0,0.0,37.3,0,39083655
1,1,1,2025-11-30_15-31-19,AdobeCollabSync.exe,0.0,0.0,5.5,0,5810334
1,1,1,2025-11-30_15-31-19,MemCompression,0.0,5.0,0.0,0,0
1,1,1,2025-11-30_15-31-19,svchost.exe,0.0,0.0,3.2,0,3355344
1,1,1,2025-11-30_15-31-19,SearchApp.exe,0.0,0.0,14.8,0,15554886
1,1,1,2025-11-30_15-31-19,chrome.exe,0.0,1.6,243.4,0,255222055
1,1,1,2025-11-30_15-31-19,SearchIndexer.exe,0.0,0.0,23.5,0,24611962
1,1,1,2025-11-30_15-31-19,chrome.exe,0.0,0.0,1.7,0,1791136
1,1,1,2025-11-30_15-31-19,Code.exe,0.0,1.5,230.9,0,242072254
1,1,1,2025-11-30_15-31-19,svchost.exe,0.0,0.0,4.7,0,4889362
1,1,1,2025-11-30_15-31-19,Code.exe,0.0,0.0,43.2,0,45282388
1,1,1,2025-11-30_15-31-19,chrome.exe,0.0,0.0,12.0,0,12564571
1,1,1,2025-11-30_15-31-19,steam.exe,0.0,0.0,17.5,0,18400574
1,1,1,2025-11-30_15-31-19,MoUsoCoreWorker.exe,0.0,0.0,2.2,0,2317972
1,1,1,2025-11-30_15-31-19,esrv.exe,0.0,0.0,46.1,0,48306265
1,1,1,2025-11-30_15-31-19,chrome.exe,0.0,1.2,2809.3,0,2945782865
1,1,1,2025-11-30_15-31-19,svchost.exe,0.0,0.0,12.3,0,12915162
1,1,1,2025-11-30_15-31-19,aswToolsSvc.exe,0.0,0.0,8.5,0,8885110
1,1,1,2025-11-30_15-31-20,svchost.exe,0.0,0.0,12.3,0,12931604
1,1,1,2025-11-30_15-31-20,svchost.exe,0.0,0.0,117.2,0,122911458
