fk_modelo,fk_zona,fk_empresa,timestamp,processo,cpu,ram,dados_gravados,gpu,disco_uso
1,1,1,2025-11-30_15-24-31,System Idle Process,90.2,0.0,0.0,0,0
1,1,1,2025-11-30_15-24-31,System,0.4,0.0,1514.5,0,1588084984
1,1,1,2025-11-30_15-24-31,Registry,0.0,0.0,237.9,0,249434112
1,1,1,2025-11-30_15-24-31,Code.exe,0.0,0.0,4.0,0,4195353
1,1,1,2025-11-30_15-24-31,AvastSvc.exe,0.0,0.0,46.1,0,48348799
1,1,1,2025-11-30_15-24-31,lsass.exe,0.0,0.0,1.8,0,1847495
1,1,1,2025-11-30_15-24-31,idea64.exe,0.1,12.9,303.4,0,318129648
1,1,1,2025-11-30_15-24-31,steamwebhelper.exe,0.0,2.2,10.3,0,10798121
1,1,1,2025-11-30_15-24-31,svchost.exe,0.0,0.0,138.5,0,145200000
1,1,1,2025-11-30_15-24-31,svchost.exe,0.0,0.0,37.8,0,39593458
1,1,1,2025-11-30_15-24-31,svchost.exe,0.0,0.0,7.3,0,7618720
1,1,1,2025-11-30_15-24-31,Code.exe,0.0,0.0,3.5,0,3661800
1,1,1,2025-11-30_15-24-32,svchost.exe,0.1,0.0,0.0,0,0
1,1,1,2025-11-30_15-24-32,MsMpEng.exe,0.7,1.5,1772.1,0,1858213003
1,1,1,2025-11-30_15-24-32,svchost.exe,0.0,0.0,37.1,0,38944218
1,1,1,2025-11-30_15-24-32,AdobeCollabSync.exe,0.0,0.0,5.5,0,5810334
1,1,1,2025-11-30_15-24-32,MemCompression,0.0,5.0,0.0,0,0
1,1,1,2025-11-30_15-24-32,svchost.exe,0.0,0.0,3.2,0,3355344
1,1,1,2025-11-30_15-24-32,SearchApp.exe,0.0,0.0,14.8,0,15554886
1,1,1,2025-11-30_15-24-32,chrome.exe,0.2,1.8,243.4,0,255216279
1,1,1,2025-11-30_15-24-32,SearchIndexer.exe,0.0,0.0,23.5,0,24611962
1,1,1,2025-11-30_15-24-32,chrome.exe,0.0,0.0,1.7,0,1789120
1,1,1,2025-11-30_15-24-32,Code.exe,0.1,1.5,227.6,0,238609896
1,1,1,2025-11-30_15-24-32,svchost.exe,0.0,0.0,4.7,0,4889362
1,1,1,2025-11-30_15-24-32,Code.exe,0.2,0.0,42.4,0,44431965
1,1,1,2025-11-30_15-24-32,chrome.exe,0.0,0.0,12.0,0,12562331
