fk_modelo,fk_zona,fk_empresa,timestamp,evento
1,1,1,2025-11-17 19:28:06.810655,Processo fora da whitelist morto: system idle process
1,1,1,2025-11-17 19:28:06.818665,Processo fora da whitelist morto: wininit
1,1,1,2025-11-17 19:28:06.822468,Processo fora da whitelist morto: registry
1,1,1,2025-11-17 19:28:06.825500,Processo fora da whitelist morto: smss
1,1,1,2025-11-17 19:28:06.828598,Processo fora da whitelist morto: asus_framework
1,1,1,2025-11-17 19:28:06.831848,Processo fora da whitelist morto: asus_framework
1,1,1,2025-11-17 19:28:06.834911,Processo fora da whitelist morto: asus_framework
1,1,1,2025-11-17 19:28:06.838025,Processo fora da whitelist morto: csrss
1,1,1,2025-11-17 19:28:06.841134,Processo fora da whitelist morto: csrss
1,1,1,2025-11-17 19:28:06.844148,Processo fora da whitelist morto: spotify
1,1,1,2025-11-17 19:28:06.847020,Processo fora da whitelist morto: spotify
1,1,1,2025-11-17 19:28:06.850075,Processo fora da whitelist morto: spotify
1,1,1,2025-11-17 19:28:06.853010,Processo fora da whitelist morto: spotify
1,1,1,2025-11-17 19:28:06.855820,Processo fora da whitelist morto: spotify
1,1,1,2025-11-17 19:28:06.858766,Processo fora da whitelist morto: spotify
1,1,1,2025-11-17 19:28:06.861781,Processo fora da whitelist morto: fontdrvhost
1,1,1,2025-11-17 19:28:06.864837,Processo fora da whitelist morto: fontdrvhost
1,1,1,2025-11-17 19:28:06.867810,Processo fora da whitelist morto: services
1,1,1,2025-11-17 19:28:06.870775,Processo fora da whitelist morto: lsass
1,1,1,2025-11-17 19:28:06.873861,Processo fora da whitelist morto: avastui
1,1,1,2025-11-17 19:28:06.877169,Processo fora da whitelist morto: avastui
1,1,1,2025-11-17 19:28:06.880182,Processo fora da whitelist morto: avastui
1,1,1,2025-11-17 19:28:06.883178,Processo fora da whitelist morto: avastui
1,1,1,2025-11-17 19:28:06.886095,Processo fora da whitelist morto: powershell
1,1,1,2025-11-17 19:28:06.889061,Processo fora da whitelist morto: powershell
1,1,1,2025-11-17 19:28:06.891886,Processo fora da whitelist morto: powershell
1,1,1,2025-11-17 19:28:06.894851,Processo fora da whitelist morto: iedsearch
1,1,1,2025-11-17 19:28:06.898126,Processo fora da whitelist morto: backgroundtaskhost
1,1,1,2025-11-17 19:28:06.901152,Processo fora da whitelist morto: wmiprvse
1,1,1,2025-11-17 19:28:06.904165,Processo fora da whitelist morto: wmiprvse
1,1,1,2025-11-17 19:28:06.907079,Processo fora da whitelist morto: wmiprvse
1,1,1,2025-11-17 19:28:06.910061,Processo fora da whitelist morto: amdfendrsr
1,1,1,2025-11-17 19:28:06.913141,Processo fora da whitelist morto: asuscertservice
1,1,1,2025-11-17 19:28:06.916101,Processo fora da whitelist morto: mysqlworkbench
1,1,1,2025-11-17 19:28:06.918996,Processo fora da whitelist morto: steamwebhelper
1,1,1,2025-11-17 19:28:06.921893,Processo fora da whitelist morto: steamwebhelper
1,1,1,2025-11-17 19:28:06.924787,Processo fora da whitelist morto: steamwebhelper
1,1,1,2025-11-17 19:28:06.927863,Processo fora da whitelist morto: steamwebhelper
1,1,1,2025-11-17 19:28:06.931146,Processo fora da whitelist morto: steamwebhelper
1,1,1,2025-11-17 19:28:06.934166,Processo fora da whitelist morto: steamwebhelper
1,1,1,2025-11-17 19:28:06.937383,Processo fora da whitelist morto: steamwebhelper
1,1,1,2025-11-17 19:28:06.940937,Processo fora da whitelist morto: memcompression
1,1,1,2025-11-17 19:28:06.944161,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:06.948181,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:06.952012,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:06.954877,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:06.957614,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:06.960162,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:06.962810,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:06.965460,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:06.967924,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:06.971876,Processo fora da whitelist morto: pet
1,1,1,2025-11-17 19:28:06.974935,Processo fora da whitelist morto: lightshot
1,1,1,2025-11-17 19:28:06.977542,Processo fora da whitelist morto: atkexcomsvc
1,1,1,2025-11-17 19:28:06.980227,Processo fora da whitelist morto: armouryaiofanserver
1,1,1,2025-11-17 19:28:06.982790,Processo fora da whitelist morto: jucheck
1,1,1,2025-11-17 19:28:06.985574,Processo fora da whitelist morto: dllhost
1,1,1,2025-11-17 19:28:06.988333,Processo fora da whitelist morto: dllhost
1,1,1,2025-11-17 19:28:06.991117,Processo fora da whitelist morto: dllhost
1,1,1,2025-11-17 19:28:06.993716,Processo fora da whitelist morto: avastsvc
1,1,1,2025-11-17 19:28:06.996428,Processo fora da whitelist morto: rtkngui64
1,1,1,2025-11-17 19:28:06.999557,Processo fora da whitelist morto: runtimebroker
1,1,1,2025-11-17 19:28:07.002274,Processo fora da whitelist morto: runtimebroker
1,1,1,2025-11-17 19:28:07.005128,Processo fora da whitelist morto: runtimebroker
1,1,1,2025-11-17 19:28:07.008106,Processo fora da whitelist morto: runtimebroker
1,1,1,2025-11-17 19:28:07.010825,Processo fora da whitelist morto: runtimebroker
1,1,1,2025-11-17 19:28:07.013722,Processo fora da whitelist morto: runtimebroker
1,1,1,2025-11-17 19:28:07.016983,Processo fora da whitelist morto: runtimebroker
1,1,1,2025-11-17 19:28:07.019830,Processo fora da whitelist morto: runtimebroker
1,1,1,2025-11-17 19:28:07.022641,Processo fora da whitelist morto: steamservice
1,1,1,2025-11-17 19:28:07.025769,Processo fora da whitelist morto: armouryswagent
1,1,1,2025-11-17 19:28:07.028761,Processo fora da whitelist morto: textinputhost
1,1,1,2025-11-17 19:28:07.031521,Processo fora da whitelist morto: onenotem
1,1,1,2025-11-17 19:28:07.034257,Processo fora da whitelist morto: searchindexer
