ip,hostname,timestamp,evento,mac
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25 23:58:06.355103,Novo arquivo de dados criado: 2025-10-25_23-58-06 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25 23:58:06.357243,Novo arquivo de dados criado: 2025-10-25_23-58-06-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25 23:59:07.352862,Novo arquivo de dados criado: 2025-10-25_23-59-07 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25 23:59:07.354556,Novo arquivo de dados criado: 2025-10-25_23-59-07-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:00:08.401859,Novo arquivo de dados criado: 2025-10-26_00-00-08 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:00:08.403372,Novo arquivo de dados criado: 2025-10-26_00-00-08-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:01:09.189792,Novo arquivo de dados criado: 2025-10-26_00-01-09 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:01:09.191408,Novo arquivo de dados criado: 2025-10-26_00-01-09-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:02:09.373719,Novo arquivo de dados criado: 2025-10-26_00-02-09 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:02:09.375236,Novo arquivo de dados criado: 2025-10-26_00-02-09-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:03:10.228820,Novo arquivo de dados criado: 2025-10-26_00-03-10 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:03:10.230493,Novo arquivo de dados criado: 2025-10-26_00-03-10-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:04:10.415188,Novo arquivo de dados criado: 2025-10-26_00-04-10 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:04:10.416671,Novo arquivo de dados criado: 2025-10-26_00-04-10-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:05:15.934380,Novo arquivo de dados criado: 2025-10-26_00-05-15 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:05:15.935933,Novo arquivo de dados criado: 2025-10-26_00-05-15-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:06:21.226023,Novo arquivo de dados criado: 2025-10-26_00-06-21 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:06:21.227935,Novo arquivo de dados criado: 2025-10-26_00-06-21-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:07:26.488533,Novo arquivo de dados criado: 2025-10-26_00-07-26 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:07:26.490198,Novo arquivo de dados criado: 2025-10-26_00-07-26-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:08:31.636201,Novo arquivo de dados criado: 2025-10-26_00-08-31 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:08:31.637685,Novo arquivo de dados criado: 2025-10-26_00-08-31-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:09:36.777126,Novo arquivo de dados criado: 2025-10-26_00-09-36 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:09:36.778780,Novo arquivo de dados criado: 2025-10-26_00-09-36-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:10:41.717509,Novo arquivo de dados criado: 2025-10-26_00-10-41 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:10:41.719021,Novo arquivo de dados criado: 2025-10-26_00-10-41-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:11:46.592676,Novo arquivo de dados criado: 2025-10-26_00-11-46 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:11:46.594164,Novo arquivo de dados criado: 2025-10-26_00-11-46-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:12:51.355183,Novo arquivo de dados criado: 2025-10-26_00-12-51 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:12:51.357069,Novo arquivo de dados criado: 2025-10-26_00-12-51-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:13:57.186966,Novo arquivo de dados criado: 2025-10-26_00-13-57 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:13:57.188789,Novo arquivo de dados criado: 2025-10-26_00-13-57-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:15:02.857671,Novo arquivo de dados criado: 2025-10-26_00-15-02 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:15:02.859169,Novo arquivo de dados criado: 2025-10-26_00-15-02-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:16:08.505565,Novo arquivo de dados criado: 2025-10-26_00-16-08 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:16:08.507276,Novo arquivo de dados criado: 2025-10-26_00-16-08-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:17:14.401201,Novo arquivo de dados criado: 2025-10-26_00-17-14 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:17:14.402718,Novo arquivo de dados criado: 2025-10-26_00-17-14-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:18:20.222842,Novo arquivo de dados criado: 2025-10-26_00-18-20 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:18:20.224409,Novo arquivo de dados criado: 2025-10-26_00-18-20-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:19:25.834816,Novo arquivo de dados criado: 2025-10-26_00-19-25 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:19:25.836358,Novo arquivo de dados criado: 2025-10-26_00-19-25-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:20:31.552718,Novo arquivo de dados criado: 2025-10-26_00-20-31 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:20:31.554297,Novo arquivo de dados criado: 2025-10-26_00-20-31-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:21:37.086881,Novo arquivo de dados criado: 2025-10-26_00-21-37 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:21:37.088712,Novo arquivo de dados criado: 2025-10-26_00-21-37-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:22:41.957892,Novo arquivo de dados criado: 2025-10-26_00-22-41 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:22:41.959439,Novo arquivo de dados criado: 2025-10-26_00-22-41-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:23:46.651729,Novo arquivo de dados criado: 2025-10-26_00-23-46 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:23:46.653214,Novo arquivo de dados criado: 2025-10-26_00-23-46-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:24:51.489300,Novo arquivo de dados criado: 2025-10-26_00-24-51 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:24:51.491031,Novo arquivo de dados criado: 2025-10-26_00-24-51-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:25:56.281343,Novo arquivo de dados criado: 2025-10-26_00-25-56 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:25:56.282914,Novo arquivo de dados criado: 2025-10-26_00-25-56-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:27:01.070983,Novo arquivo de dados criado: 2025-10-26_00-27-01 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:27:01.072624,Novo arquivo de dados criado: 2025-10-26_00-27-01-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:28:06.123998,Novo arquivo de dados criado: 2025-10-26_00-28-06 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:28:06.125585,Novo arquivo de dados criado: 2025-10-26_00-28-06-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:29:10.924115,Novo arquivo de dados criado: 2025-10-26_00-29-10 - 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:29:10.925629,Novo arquivo de dados criado: 2025-10-26_00-29-10-Processos 14071519000332.csv,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26 00:30:01.373255,Monitoramento interrompido manualmente.,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-11-02 02:03:26.245770,Processo fora da whitelist morto: photos,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-11-02 02:03:26.271485,Processo fora da whitelist detectado: photos,14071519000332
192.168.0.192,DESKTOP-N2E1DHL,2025-11-02 02:03:41.321289,Monitoramento interrompido manualmente.,14071519000332
